feature_id,parent_feature,classification,route_type,web_route,mobile_kind,mobile_destination,mobile_exception,label_es,label_en,synonyms_es,synonyms_en,keywords,navigation_group,breadcrumb,authentication,roles,modules,actions,route_action,record_scope,maturity,feature_flag,global_menu,quick_create,favorite_eligible,pin_eligible,recent_behavior,telemetry_id,access_request_eligible,interface_expected,technical,searchable
admin.commerce-provider-events,admin.system-status,important-submodule,important-submodule,/admin/commerce/provider-events,web-only,,Encrypted payment-event operations require the strict-admin desktop workflow.,Eventos de pago,Payment events,webhooks de pago|dead letters de pago,payment webhooks|payment dead letters,payment|webhook|provider-event|retry|dead-letter,admin,admin.system-status,authenticated,Admin,Admin,discover|view|administer,view,verified-provider-event,beta,,true,,true,true,feature,admin.commerce-provider-events,false,true,false,true
admin.artist-enrichment,admin.system-status,important-submodule,important-submodule,/admin/artistas-enriquecimiento,security-concealed,,Artist enrichment review is restricted to strict administrators on the web.,Enriquecimiento de artistas,Artist enrichment,investigación de artistas|revisión de artistas,artist research|artist review,artist|enrichment|identity|provenance|media,admin,admin.system-status,authenticated,Admin,Admin,discover|view|create|edit,view,none,stable,,true,,true,true,feature,admin.artist-enrichment,false,true,false,true
admin.brain,admin.system-status,important-submodule,important-submodule,/configuracion/brain,web-only,,Knowledge administration is web only.,Brain y RAG,Brain and RAG,conocimiento|rag,knowledge|rag,brain|rag|ai,admin,admin.system-status,authenticated,,Admin,discover|view|create|edit|administer,view,none,stable,,true,,true,true,feature,admin.brain,true,true,false,true
admin.calendar-integration,admin.system-status,important-submodule,important-submodule,/configuracion/integraciones/calendario,security-concealed,,OAuth administration is web only.,Calendario Google,Google Calendar,integración calendario,calendar integration,google|calendar|oauth,admin,admin.system-status,authenticated,Admin,Admin,discover|view|administer,view,none,stable,,true,,true,true,feature,admin.calendar-integration,false,true,false,true
admin.cms,,primary-destination,primary,/configuracion/cms,web-only,,Content authoring is web only.,CMS,CMS,contenido|páginas,content|pages,cms|content|publish,admin,,authenticated,Admin|Webmaster,Admin,discover|view|create|edit|delete|publish,view,none,stable,,true,,true,true,feature,admin.cms,true,true,false,true
admin.campaign-automations,admin.cms,important-submodule,important-submodule,/configuracion/campanas-automaticas,web-only,,Campaign automation is web only.,Campañas automáticas,Campaign automations,automatizaciones|ads,automations|ads,campaign|automation|ads,admin,admin.cms,authenticated,,Admin,discover|view|create|edit|publish,view,none,stable,,true,,true,true,feature,admin.campaign-automations,true,true,false,true
admin.event-sources,social.discovery,important-submodule,important-submodule,/configuracion/fuentes-eventos,security-concealed,,Provider administration is web only.,Fuentes de eventos,Event sources,proveedores eventos,event providers,event|source|ticketmaster,admin,social > social.events > social.discovery,authenticated,Admin,Admin,discover|view|administer,view,none,beta,EVENT_DISCOVERY_ENABLED,true,,true,true,feature,admin.event-sources,false,true,false,true
admin.whatsapp-consent,social.inbox,important-submodule,important-submodule,/configuracion/whatsapp-consentimiento,security-concealed,,Consent administration is web only.,WhatsApp consentimiento,WhatsApp consent,opt-in|consentimiento,opt-in|consent,whatsapp|consent|privacy,admin,social > social.inbox,authenticated,Admin,Admin,discover|view|administer,view,none,stable,,true,,true,true,feature,admin.whatsapp-consent,false,true,false,true
admin.ux-options,admin.preferences,important-submodule,important-submodule,/configuracion/opciones-ux,web-only,,UX experiment controls are web only.,Opciones UX,UX options,experimentos interfaz,interface experiments,ux|experiment|option,admin,admin.preferences,authenticated,,Admin,discover|view|create|edit,view,none,beta,,true,,true,true,feature,admin.ux-options,true,true,false,true
admin.preferences,,primary-destination,primary,/configuracion/preferencias,web-only,,Administrative system preferences remain on the web; personal mobile preferences live under My profile.,Preferencias,Preferences,configuración|idioma,settings|language,preference|locale|currency|timezone,admin,,authenticated,,Admin,discover|view|edit,view,none,stable,,true,,true,true,feature,admin.preferences,true,true,false,true
tools.chatkit,,important-submodule,important-submodule,/herramientas/chatkit,web-only,,AI operations tooling is web only.,ChatKit,ChatKit,asistente ia,ai assistant,chatkit|ai,tools,,authenticated,Admin|Manager|StudioManager|Webmaster|Maintenance,,discover|view|create,view,none,beta,,true,,true,true,feature,tools.chatkit,true,true,false,true
tools.tidal-agent,,important-submodule,important-submodule,/herramientas/tidal-agent,web-only,,Experimental AI tooling is web only.,Agente Tidal,Tidal agent,tidal|agente música,tidal|music agent,tidal|agent|ai,tools,,authenticated,Admin|Manager|StudioManager|Webmaster|Maintenance,,discover|view|create,view,none,experimental,,true,,true,true,feature,tools.tidal-agent,true,true,false,true
tools.music-maker,,primary-destination,primary,/herramientas/creador-musical,external-web,,Browser audio tooling is web based.,Creador musical,Music maker,creador|música,maker|music,music|maker,tools,,public,,,discover|view,view,none,stable,,true,,true,true,feature,tools.music-maker,false,true,false,true
tools.admin-token,,important-submodule,important-submodule,/herramientas/token-admin,security-concealed,,API credentials are never exposed in mobile navigation.,Token API,API token,credencial api,api credential,token|api,tools,,authenticated,Admin,Admin,discover|view|administer,view,none,stable,,true,,true,true,feature,tools.admin-token,false,true,false,true
help.manual,,primary-destination,primary,/manual,native,/about,Native help links are consolidated under About.,Manual,Manual,ayuda|guía,help|guide,manual|help|guide,help,,authenticated,,,discover|view,view,none,stable,,true,,true,true,feature,help.manual,false,true,false,true
help.docs,help.manual,important-submodule,important-submodule,/docs,native,/about,Native documentation links are consolidated under About.,Documentación,Documentation,docs|api,docs|api,documentation|api,help,help.manual,authenticated,,,discover|view,view,none,stable,,true,,true,true,feature,help.docs,false,true,false,true
help.about,help.manual,important-submodule,important-submodule,/acerca,native,/about,,Acerca de,About,versión,version,about|version,help,help.manual,authenticated,,,discover|view,view,none,stable,,true,,true,true,feature,help.about,false,true,false,true
help.security,help.manual,important-submodule,important-submodule,/seguridad,native,/about,Native security links are consolidated under About.,Seguridad,Security,privacidad,privacy,security|privacy,help,help.manual,authenticated,,,discover|view,view,none,stable,,true,,true,true,feature,help.security,false,true,false,true
help.feedback,help.manual,important-submodule,important-submodule,/feedback,native,/about,Native feedback link is consolidated under About.,Sugerencias,Feedback,comentarios|soporte,suggestions|support,feedback|support,help,help.manual,optional,,,discover|view|create,view,none,stable,,true,,true,true,feature,help.feedback,false,true,false,true
navigation.quick-create,home,important-submodule,important-submodule,,native,/(tabs)/create,,Creación rápida,Quick create,crear|nuevo,create|new,quick|create|action,create,home,authenticated,,,discover|view,view,none,stable,,false,,false,false,none,navigation.quick-create,false,true,false,false
navigation.explore,home,important-submodule,important-submodule,,native,/(tabs)/more,,Explorar funciones,Explore features,menú|buscar funciones,menu|find features,navigation|search|features,help,home,authenticated,,,discover|view|edit|delete,view,none,stable,,false,,false,false,none,navigation.explore,false,true,false,false
profile.self,community,primary-destination,primary,,native,/(tabs)/profile,,Mi perfil,My profile,cuenta|perfil personal,account|personal profile,profile|account|settings,people,community,authenticated,,,discover|view|edit,view,none,stable,,false,,true,true,feature,profile.self,true,true,false,true
social.venues,social.events,important-submodule,important-submodule,,native,/venueExplorer,Venue administration currently has a native-first interface.,Lugares,Venues,venues|espacios,places|spaces,venue|location|event,people,social > social.events,authenticated,,,discover|view|create|edit,view,none,stable,,true,,true,true,feature,social.venues,true,true,false,true
social.venue.detail,social.venues,record-detail-contextual-action,contextual,,native-contextual,/venueDetail,,Detalle de lugar,Venue detail,lugar|venue,venue|place,venue|detail,people,social > social.events > social.venues,authenticated,,,discover|view,view,none,stable,,false,,false,false,record,social.venue.detail,true,true,false,true
social.venue.create,social.venues,record-detail-contextual-action,contextual,,native-contextual,/createVenue,,Nuevo lugar,New venue,crear venue,create venue,venue|create,people,social > social.events > social.venues,authenticated,Admin|Manager|StudioManager|Reception|Producer|LiveSessionsProducer|AandR,,discover|view|create,create,none,stable,,false,,false,false,none,social.venue.create,true,true,false,true
artist.profile.edit,artist.public,record-detail-contextual-action,contextual,,native-contextual,/editArtistProfile,,Editar perfil de artista,Edit artist profile,editar artista,edit artist,artist|profile|edit,people,community > artist.public,authenticated,Admin|Artist|Artista,,discover|view|edit,edit,none,stable,,false,,false,false,record,artist.profile.edit,true,true,false,true
studio.session.input-list,studio.calendar,record-detail-contextual-action,contextual,,native-contextual,/input-list/[id],,Lista de entradas,Input list,canales|microfonía,channels|microphones,session|input|patch,operate,studio.calendar,authenticated,,Scheduling,discover|view|export,view,none,stable,,false,,false,false,record,studio.session.input-list,true,true,false,true
social.tickets,social.events,important-submodule,important-submodule,,native,/tickets,Ticket wallet is native-first.,Mis entradas,My tickets,boletos|órdenes,passes|orders,ticket|order|event,people,social > social.events,authenticated,,,discover|view,view,none,stable,,true,,true,true,feature,social.tickets,true,true,false,true
social.ticket-checkout,social.event.detail,record-detail-contextual-action,contextual,/eventos/:eventId/entradas,native-contextual,/ticketCheckout,Native ticket checkout remains authenticated until it adopts the generated guest capability-token contract.,Comprar entrada,Buy ticket,checkout|pagar entrada,checkout|pay ticket,ticket|checkout|payment,people,social > social.events > social.event.detail,public,,,discover|view|create,create,none,beta,,false,,false,false,record,social.ticket-checkout,true,true,false,true
social.ticket-order-public,social.ticket-checkout,record-detail-contextual-action,contextual,/eventos/:eventId/orden/:orderId,web-only,,The guest lookup token is intentionally device-scoped; mobile has generated API types but no equivalent secure ticket tracker yet.,Seguimiento de entrada,Ticket order tracking,estado de entrada|orden de boletos,ticket status|ticket order,ticket|order|tracking|payment,people,social > social.events > social.event.detail > social.ticket-checkout,public,,,discover|view,view,none,beta,,false,,false,false,record,social.ticket-order-public,false,true,false,true
label.contracts.create,label.projects,important-submodule,important-submodule,,security-concealed,/contracts/NewContractScreen,The existing screen is an unwired placeholder.,Nuevo contrato,New contract,redactar contrato,draft contract,contract|draft|signature,label,label.projects,authenticated,Admin|Manager|StudioManager|Artist|Artista,,discover|view|create,create,none,incomplete,,false,,false,false,none,label.contracts.create,true,true,false,true
label.contracts.detail,label.contracts.create,record-detail-contextual-action,contextual,,security-concealed,/contracts/ContractViewScreen,The existing screen is an unwired placeholder.,Detalle de contrato,Contract detail,ver contrato,view contract,contract|detail|pdf,label,label.projects > label.contracts.create,authenticated,Admin|Manager|StudioManager|Artist|Artista,,discover|view,view,none,incomplete,,false,,false,false,record,label.contracts.detail,true,true,false,true
mobile.onboarding,public.platform,important-submodule,important-submodule,,native,/onboarding,Transient first-run flow; not included in feature search.,Introducción móvil,Mobile onboarding,bienvenida,welcome,onboarding|welcome,help,public.platform,public,,,discover|view,view,none,stable,,false,,false,false,none,mobile.onboarding,false,true,false,false
technical.mobile-entry,technical.auth-login,technical-route,technical,,technical,/,,Entrada móvil,Mobile entry,,,redirect,,,public,,,discover|view,view,none,stable,,false,,false,false,none,technical.mobile-entry,false,false,true,false
access-requests.mine,,primary-destination,primary,/solicitudes-acceso,native,/access-requests,,Solicitudes de acceso,Access requests,pedir permiso|mis solicitudes,request permission|my requests,access|permission|request,help,,authenticated,,,discover|view|edit,view,none,stable,,true,,true,true,feature,access-requests.mine,false,true,false,true
access-requests.create,access-requests.mine,important-submodule,important-submodule,/solicitudes-acceso/nueva,native,/access-requests/new,,Solicitar acceso,Request access,pedir permiso,request permission,access|request|permission,help,access-requests.mine,authenticated,,,discover|view|create,create,none,stable,,false,,false,false,feature,access-requests.create,false,true,false,true
access-requests.review,access-requests.mine,important-submodule,important-submodule,/solicitudes-acceso/revision,native,/access-requests/review,,Revisar accesos,Review access,aprobar permisos,approve permissions,access|review|approve|reject,admin,access-requests.mine,authenticated,Admin|Manager|StudioManager,,discover|view|approve|reject|administer,approve,none,stable,,true,,true,true,feature,access-requests.review,false,true,false,true
technical.auth-login,,technical-route,technical,/login,technical,/auth,,Inicio de sesión,Sign in,,,auth,,,public,,,discover|view,view,none,stable,,false,,false,false,none,technical.auth-login,false,true,true,false
technical.auth-reset,technical.auth-login,technical-route,technical,/reset,technical,/auth,Native reset is handled from authentication.,Restablecer contraseña,Reset password,,,auth|reset,,,public,,,discover|view,view,none,stable,,false,,false,false,none,technical.auth-reset,false,true,true,false
technical.oauth-google-drive,admin.calendar-integration,technical-route,technical,/oauth/google-drive/callback,technical,,,Callback Google Drive,Google Drive callback,,,oauth,,,optional,,,discover|view,view,none,stable,,false,,false,false,none,technical.oauth-google-drive,false,false,true,false
technical.oauth-instagram,social.instagram,technical-route,technical,/oauth/instagram/callback,technical,,,Callback Instagram,Instagram callback,,,oauth,,,optional,,,discover|view,view,none,stable,,false,,false,false,none,technical.oauth-instagram,false,false,true,false
technical.service-payment-return,service.mixing-mastering,technical-route,technical,/mezcla-mastering/pago-datafast,technical,,,Retorno de pago de servicio,Service payment return,,,payment|service,,,public,,,discover|view,view,none,stable,,false,,false,false,none,technical.service-payment-return,false,true,true,false
technical.payment-return,marketplace,technical-route,technical,/marketplace/pago-datafast,technical,,,Retorno de pago,Payment return,,,payment,,,public,,,discover|view,view,none,stable,,false,,false,false,none,technical.payment-return,false,true,true,false
technical.whatsapp-return,help.feedback,technical-route,technical,/whatsapp/ok,technical,,,Confirmación WhatsApp,WhatsApp confirmation,,,whatsapp,,,public,,,discover|view,view,none,stable,,false,,false,false,none,technical.whatsapp-return,false,true,true,false
technical.inventory-scan,operations.inventory,technical-route,technical,/inventario/scan/:token,technical,,,Escaneo de inventario,Inventory scan,,,scan,,,public,,,discover|view,view,signed-token,stable,,false,,false,false,none,technical.inventory-scan,false,false,true,false
technical.course-public,admin.courses,record-detail-contextual-action,contextual,/curso/:slug,external-web,,Public courses are opened from shared links.,Curso público,Public course,curso,course,course,people,,public,,,discover|view|submit,view,none,stable,,false,,false,false,record,technical.course-public,false,true,false,true
technical.course-registration,technical.course-public,record-detail-contextual-action,contextual,/inscripcion/:slug,external-web,,Course registration is a shareable web flow.,Inscripción de curso,Course registration,matrícula,enrollment,registration|course,people,technical.course-public,public,,,discover|view|submit,view,none,stable,,false,,false,false,record,technical.course-registration,false,true,false,true
technical.whatsapp-consent-public,admin.whatsapp-consent,record-detail-contextual-action,contextual,/whatsapp/consentimiento,external-web,,Consent links remain shareable web flows.,Consentimiento WhatsApp,WhatsApp consent,opt-in,opt-in,whatsapp|consent,help,,public,,,discover|view|submit,view,none,stable,,false,,false,false,none,technical.whatsapp-consent-public,false,true,false,true
experimental.future-stubs,,technical-route,technical,,technical,,,Stubs futuros,Future stubs,,,stub,,,authenticated,Admin,Admin,discover|view,view,none,incomplete,,false,,false,false,none,experimental.future-stubs,false,false,true,false
