method,path,authentication_boundary,mapped_feature_id,mapped_action,action_rule_present,interface_disposition,authorization_evidence,source_aliases,source
GET,/chat/threads/{threadId}/messages,authenticated-root,chat,view,true,user/admin interface mapped,root bearer/session authentication; handler/action/record-scope review still required,API > ProtectedAPI > ChatAPI,tdf-hq/src/TDF/API.hs:145
POST,/chat/threads/{threadId}/messages,authenticated-root,chat,create,true,user/admin interface mapped,root bearer/session authentication; handler/action/record-scope review still required,API > ProtectedAPI > ChatAPI,tdf-hq/src/TDF/API.hs:145
POST,/chat/threads/dm/{otherPartyId},authenticated-root,chat,create,true,user/admin interface mapped,root bearer/session authentication; handler/action/record-scope review still required,API > ProtectedAPI > ChatAPI,tdf-hq/src/TDF/API.hs:145
POST,/chatkit/sessions,authenticated-root,tools.chatkit,create,true,user/admin interface mapped,root bearer/session authentication; handler/action/record-scope review still required,API > ProtectedAPI > ChatKitSessionAPI,tdf-hq/src/TDF/API.hs:157
GET,/cms/content,public-root,admin.cms,view,true,user/admin interface mapped,public route; handler validation/signature/rate-limit review still required,API > CmsPublicAPI,tdf-hq/src/TDF/API.hs:112
GET,/cms/contents,public-root,admin.cms,view,true,user/admin interface mapped,public route; handler validation/signature/rate-limit review still required,API > CmsPublicAPI,tdf-hq/src/TDF/API.hs:112
GET,/cohorts/next,public-root,technical.course-public,view,true,user/admin interface mapped,public route; handler validation/signature/rate-limit review still required,API > AcademyAPI,tdf-hq/src/TDF/Routes/Academy.hs:116
POST,/contracts,authenticated-root,label.contracts.create,create,true,security-sensitive concealed capability; interface decision documented,root bearer/session authentication; handler/action/record-scope review still required,API > ProtectedAPI > ContractsAPI,tdf-hq/src/TDF/Contracts/API.hs:9
GET,/contracts/{id}/pdf,authenticated-root,label.contracts.detail,view,true,security-sensitive concealed capability; interface decision documented,root bearer/session authentication; handler/action/record-scope review still required,API > ProtectedAPI > ContractsAPI,tdf-hq/src/TDF/Contracts/API.hs:9
POST,/contracts/{id}/send,authenticated-root,label.contracts.create,create,true,security-sensitive concealed capability; interface decision documented,root bearer/session authentication; handler/action/record-scope review still required,API > ProtectedAPI > ContractsAPI,tdf-hq/src/TDF/Contracts/API.hs:9
GET,/countries,authenticated-root,bookings.public,view,true,user/admin interface mapped,root bearer/session authentication; handler/action/record-scope review still required,API > ProtectedAPI > CountryAPI,tdf-hq/src/TDF/API.hs:405
GET,/ddex/catalog/releases,authenticated-root,label.ddex.inbox,view,true,user/admin interface mapped,root bearer/session authentication; handler/action/record-scope review still required,API > ProtectedAPI > DDEXAPI,tdf-hq/src/TDF/API/DDEX.hs:33
GET,/ddex/documents,authenticated-root,label.ddex.inbox,view,true,user/admin interface mapped,root bearer/session authentication; handler/action/record-scope review still required,API > ProtectedAPI > DDEXAPI,tdf-hq/src/TDF/API/DDEX.hs:33
POST,/ddex/documents,authenticated-root,label.ddex.inbox,import,true,user/admin interface mapped,root bearer/session authentication; handler/action/record-scope review still required,API > ProtectedAPI > DDEXAPI,tdf-hq/src/TDF/API/DDEX.hs:33
GET,/ddex/documents/{id},authenticated-root,label.ddex.inbox,view,true,user/admin interface mapped,root bearer/session authentication; handler/action/record-scope review still required,API > ProtectedAPI > DDEXAPI,tdf-hq/src/TDF/API/DDEX.hs:33
POST,/ddex/documents/{id}/import-plans,authenticated-root,label.ddex.inbox,import,true,user/admin interface mapped,root bearer/session authentication; handler/action/record-scope review still required,API > ProtectedAPI > DDEXAPI,tdf-hq/src/TDF/API/DDEX.hs:33
GET,/ddex/documents/{id}/preview,authenticated-root,label.ddex.inbox,view,true,user/admin interface mapped,root bearer/session authentication; handler/action/record-scope review still required,API > ProtectedAPI > DDEXAPI,tdf-hq/src/TDF/API/DDEX.hs:33
GET,/ddex/documents/{id}/raw,authenticated-root,label.ddex.inbox,view,true,user/admin interface mapped,root bearer/session authentication; handler/action/record-scope review still required,API > ProtectedAPI > DDEXAPI,tdf-hq/src/TDF/API/DDEX.hs:33
POST,/ddex/documents/{id}/validation-runs,authenticated-root,label.ddex.inbox,import,true,user/admin interface mapped,root bearer/session authentication; handler/action/record-scope review still required,API > ProtectedAPI > DDEXAPI,tdf-hq/src/TDF/API/DDEX.hs:33
GET,/ddex/documents/{id}/validation-runs/latest,authenticated-root,label.ddex.inbox,view,true,user/admin interface mapped,root bearer/session authentication; handler/action/record-scope review still required,API > ProtectedAPI > DDEXAPI,tdf-hq/src/TDF/API/DDEX.hs:33
POST,/ddex/exports,authenticated-root,label.ddex.inbox,export,true,user/admin interface mapped,root bearer/session authentication; handler/action/record-scope review still required,API > ProtectedAPI > DDEXAPI,tdf-hq/src/TDF/API/DDEX.hs:33
GET,/ddex/exports/{id}/download,authenticated-root,label.ddex.inbox,export,true,user/admin interface mapped,root bearer/session authentication; handler/action/record-scope review still required,API > ProtectedAPI > DDEXAPI,tdf-hq/src/TDF/API/DDEX.hs:33
PATCH,/ddex/import-plans/{id},authenticated-root,label.ddex.inbox,import,true,user/admin interface mapped,root bearer/session authentication; handler/action/record-scope review still required,API > ProtectedAPI > DDEXAPI,tdf-hq/src/TDF/API/DDEX.hs:33
POST,/ddex/import-plans/{id}/commit,authenticated-root,label.ddex.inbox,import,true,user/admin interface mapped,root bearer/session authentication; handler/action/record-scope review still required,API > ProtectedAPI > DDEXAPI,tdf-hq/src/TDF/API/DDEX.hs:33
GET,/ddex/partners,authenticated-root,label.ddex.partners,view,true,user/admin interface mapped,root bearer/session authentication; handler/action/record-scope review still required,API > ProtectedAPI > DDEXAPI,tdf-hq/src/TDF/API/DDEX.hs:33
POST,/ddex/partners,authenticated-root,label.ddex.partners,create,true,user/admin interface mapped,root bearer/session authentication; handler/action/record-scope review still required,API > ProtectedAPI > DDEXAPI,tdf-hq/src/TDF/API/DDEX.hs:33
GET,/docs,public-root,help.docs,view,true,user/admin interface mapped,public route; handler validation/signature/rate-limit review still required,API > MetaAPI,tdf-hq/src/TDF/Meta.hs:39
POST,/drive/token,authenticated-root,technical.oauth-google-drive,administer,false,documented API-only capability,root bearer/session authentication; handler/action/record-scope review still required,API > ProtectedAPI > DriveAPI,tdf-hq/src/TDF/API/Drive.hs:141
POST,/drive/token/refresh,authenticated-root,technical.oauth-google-drive,administer,false,documented API-only capability,root bearer/session authentication; handler/action/record-scope review still required,API > ProtectedAPI > DriveAPI,tdf-hq/src/TDF/API/Drive.hs:141
POST,/drive/upload,authenticated-root,technical.oauth-google-drive,administer,false,documented API-only capability,root bearer/session authentication; handler/action/record-scope review still required,API > ProtectedAPI > DriveAPI,tdf-hq/src/TDF/API/Drive.hs:141
GET,/engineers,public-root,bookings.public,view,true,user/admin interface mapped,public route; handler validation/signature/rate-limit review still required,API,tdf-hq/src/TDF/API.hs:559
GET,/facebook/messages,authenticated-root,social.inbox,view,true,user/admin interface mapped,root bearer/session authentication; handler/action/record-scope review still required,API > ProtectedAPI > FacebookAPI,tdf-hq/src/TDF/API/Facebook.hs:111
POST,/facebook/reply,authenticated-root,social.inbox,create,true,user/admin interface mapped,root bearer/session authentication; handler/action/record-scope review still required,API > ProtectedAPI > FacebookAPI,tdf-hq/src/TDF/API/Facebook.hs:111
GET,/facebook/webhook,public-root,social.inbox,view,true,user/admin interface mapped,public route; handler validation/signature/rate-limit review still required,API > FacebookWebhookAPI,tdf-hq/src/TDF/API/Facebook.hs:119
POST,/facebook/webhook,public-root,social.inbox,create,true,user/admin interface mapped,public route; handler validation/signature/rate-limit review still required,API > FacebookWebhookAPI,tdf-hq/src/TDF/API/Facebook.hs:119
GET,/fans/artists,public-root,home,view,true,user/admin interface mapped,public route; handler validation/signature/rate-limit review still required,API > FanPublicAPI,tdf-hq/src/TDF/API.hs:382
GET,/fans/artists/{artistId},public-root,home,view,true,user/admin interface mapped,public route; handler validation/signature/rate-limit review still required,API > FanPublicAPI,tdf-hq/src/TDF/API.hs:382
GET,/fans/artists/{artistId}/fans,public-root,home,view,true,user/admin interface mapped,public route; handler validation/signature/rate-limit review still required,API > FanPublicAPI,tdf-hq/src/TDF/API.hs:382
GET,/fans/artists/{artistId}/releases,public-root,home,view,true,user/admin interface mapped,public route; handler validation/signature/rate-limit review still required,API > FanPublicAPI,tdf-hq/src/TDF/API.hs:382
POST,/fans/artists/{artistId}/tips,public-root,community,create,true,user/admin interface mapped,public route; handler validation/signature/rate-limit review still required,API > FanPublicAPI,tdf-hq/src/TDF/API.hs:382
GET,/fans/clubs/{artistId},public-root,community.club,view,true,user/admin interface mapped,public route; handler validation/signature/rate-limit review still required,API > FanPublicAPI,tdf-hq/src/TDF/API.hs:382
GET,/fans/clubs/{artistId}/events,public-root,community.club,view,true,user/admin interface mapped,public route; handler validation/signature/rate-limit review still required,API > FanPublicAPI,tdf-hq/src/TDF/API.hs:382
GET,/fans/discovery,authenticated-root,home,view,true,user/admin interface mapped,root bearer/session authentication; handler/action/record-scope review still required,API > ProtectedAPI > FanSecureAPI,tdf-hq/src/TDF/API.hs:407
GET,/fans/me/artist-profile,authenticated-root,home,view,true,user/admin interface mapped,root bearer/session authentication; handler/action/record-scope review still required,API > ProtectedAPI > FanSecureAPI,tdf-hq/src/TDF/API.hs:407
GET,/fans/me/clubs,authenticated-root,home,view,true,user/admin interface mapped,root bearer/session authentication; handler/action/record-scope review still required,API > ProtectedAPI > FanSecureAPI,tdf-hq/src/TDF/API.hs:407
GET,/fans/me/clubs/{artistId},authenticated-root,home,view,true,user/admin interface mapped,root bearer/session authentication; handler/action/record-scope review still required,API > ProtectedAPI > FanSecureAPI,tdf-hq/src/TDF/API.hs:407
GET,/fans/me/follows,authenticated-root,home,view,true,user/admin interface mapped,root bearer/session authentication; handler/action/record-scope review still required,API > ProtectedAPI > FanSecureAPI,tdf-hq/src/TDF/API.hs:407
GET,/fans/me/profile,authenticated-root,profile.self,view,true,user/admin interface mapped,root bearer/session authentication; handler/action/record-scope review still required,API > ProtectedAPI > FanSecureAPI,tdf-hq/src/TDF/API.hs:407
POST,/feedback,public-root,help.feedback,create,true,user/admin interface mapped,public route; handler validation/signature/rate-limit review still required,API > FeedbackAPI,tdf-hq/src/TDF/API/Feedback.hs:26
GET,/health,public-root,admin.system-status,view,true,user/admin interface mapped,public route; handler validation/signature/rate-limit review still required,API > HealthAPI,tdf-hq/src/TDF/API.hs:353
GET,/hooks/whatsapp,public-root,,,false,technical/static/API-only; never display,public route; handler validation/signature/rate-limit review still required,API > WhatsAppHooksAPI,tdf-hq/src/TDF/Routes/Courses.hs:466
POST,/hooks/whatsapp,public-root,,,false,technical/static/API-only; never display,public route; handler validation/signature/rate-limit review still required,API > WhatsAppHooksAPI,tdf-hq/src/TDF/Routes/Courses.hs:466
GET,/input-list/inventory,public-root,studio.session.input-list,view,true,user/admin interface mapped,public route; handler validation/signature/rate-limit review still required,API > InputListAPI > InputListPublicAPI,tdf-hq/src/TDF/API.hs:75
POST,/input-list/inventory/seed,public-root,,,false,technical/API-only; never display,public route; handler validation/signature/rate-limit review still required,API > InputListAPI > InputListSeedAPI > SeedAPI,tdf-hq/src/TDF/API.hs:472
GET,/input-list/sessions,public-root,studio.session.input-list,view,true,user/admin interface mapped,public route; handler validation/signature/rate-limit review still required,API > InputListAPI > InputListPublicAPI,tdf-hq/src/TDF/API.hs:75
GET,/input-list/sessions/pdf,public-root,studio.session.input-list,view,true,user/admin interface mapped,public route; handler validation/signature/rate-limit review still required,API > InputListAPI > InputListPublicAPI,tdf-hq/src/TDF/API.hs:75
POST,/input-list/sessions/seed,public-root,,,false,technical/API-only; never display,public route; handler validation/signature/rate-limit review still required,API > InputListAPI > InputListSeedAPI > SeedAPI,tdf-hq/src/TDF/API.hs:472
GET,/instagram/messages,authenticated-root,social.inbox,view,true,user/admin interface mapped,root bearer/session authentication; handler/action/record-scope review still required,API > ProtectedAPI > InstagramAPI,tdf-hq/src/TDF/API/Instagram.hs:111
POST,/instagram/oauth/exchange,authenticated-root,social.instagram,administer,true,user/admin interface mapped,root bearer/session authentication; handler/action/record-scope review still required,API > ProtectedAPI > InstagramOAuthAPI,tdf-hq/src/TDF/API/InstagramOAuth.hs:110
POST,/instagram/reply,authenticated-root,social.instagram,administer,true,user/admin interface mapped,root bearer/session authentication; handler/action/record-scope review still required,API > ProtectedAPI > InstagramAPI,tdf-hq/src/TDF/API/Instagram.hs:111
GET,/instagram/webhook,public-root,social.instagram,view,true,user/admin interface mapped,public route; handler validation/signature/rate-limit review still required,API > InstagramWebhookAPI,tdf-hq/src/TDF/API/Instagram.hs:119
POST,/instagram/webhook,public-root,social.instagram,administer,true,user/admin interface mapped,public route; handler validation/signature/rate-limit review still required,API > InstagramWebhookAPI,tdf-hq/src/TDF/API/Instagram.hs:119
GET,/internships/interns,authenticated-root,internships,view,true,user/admin interface mapped,root bearer/session authentication; handler/action/record-scope review still required,API > ProtectedAPI > InternshipsAPI,tdf-hq/src/TDF/API/Internships.hs:12
GET,/internships/permissions,authenticated-root,internships,view,true,user/admin interface mapped,root bearer/session authentication; handler/action/record-scope review still required,API > ProtectedAPI > InternshipsAPI,tdf-hq/src/TDF/API/Internships.hs:12
GET,/internships/profile,authenticated-root,internships,view,true,user/admin interface mapped,root bearer/session authentication; handler/action/record-scope review still required,API > ProtectedAPI > InternshipsAPI,tdf-hq/src/TDF/API/Internships.hs:12
PATCH,/internships/profile,authenticated-root,internships,edit,true,user/admin interface mapped,root bearer/session authentication; handler/action/record-scope review still required,API > ProtectedAPI > InternshipsAPI,tdf-hq/src/TDF/API/Internships.hs:12
GET,/internships/projects,authenticated-root,internships,view,true,user/admin interface mapped,root bearer/session authentication; handler/action/record-scope review still required,API > ProtectedAPI > InternshipsAPI,tdf-hq/src/TDF/API/Internships.hs:12
PATCH,/internships/projects/{projectId},authenticated-root,internships,edit,true,user/admin interface mapped,root bearer/session authentication; handler/action/record-scope review still required,API > ProtectedAPI > InternshipsAPI,tdf-hq/src/TDF/API/Internships.hs:12
GET,/internships/tasks,authenticated-root,internships,view,true,user/admin interface mapped,root bearer/session authentication; handler/action/record-scope review still required,API > ProtectedAPI > InternshipsAPI,tdf-hq/src/TDF/API/Internships.hs:12
PATCH,/internships/tasks/{taskId},authenticated-root,internships,edit,true,user/admin interface mapped,root bearer/session authentication; handler/action/record-scope review still required,API > ProtectedAPI > InternshipsAPI,tdf-hq/src/TDF/API/Internships.hs:12
GET,/internships/time-entries,authenticated-root,internships,view,true,user/admin interface mapped,root bearer/session authentication; handler/action/record-scope review still required,API > ProtectedAPI > InternshipsAPI,tdf-hq/src/TDF/API/Internships.hs:12
POST,/internships/time-entries/clock-in,authenticated-root,internships,create,true,user/admin interface mapped,root bearer/session authentication; handler/action/record-scope review still required,API > ProtectedAPI > InternshipsAPI,tdf-hq/src/TDF/API/Internships.hs:12
POST,/internships/time-entries/clock-out,authenticated-root,internships,create,true,user/admin interface mapped,root bearer/session authentication; handler/action/record-scope review still required,API > ProtectedAPI > InternshipsAPI,tdf-hq/src/TDF/API/Internships.hs:12
GET,/internships/todos,authenticated-root,internships,view,true,user/admin interface mapped,root bearer/session authentication; handler/action/record-scope review still required,API > ProtectedAPI > InternshipsAPI,tdf-hq/src/TDF/API/Internships.hs:12
RAW,/inventory,public-root,,,false,technical/static/API-only; never display,public route; handler validation/signature/rate-limit review still required,API > AssetsAPI,tdf-hq/src/TDF/API.hs:72
GET,/invoices,authenticated-root,finance.payments,view,true,user/admin interface mapped,root bearer/session authentication; handler/action/record-scope review still required,API > ProtectedAPI > InvoiceAPI,tdf-hq/src/TDF/API.hs:341
POST,/invoices,authenticated-root,finance.payments,create,true,user/admin interface mapped,root bearer/session authentication; handler/action/record-scope review still required,API > ProtectedAPI > InvoiceAPI,tdf-hq/src/TDF/API.hs:341
GET,/invoices/{invoiceId},authenticated-root,finance.payments,view,true,user/admin interface mapped,root bearer/session authentication; handler/action/record-scope review still required,API > ProtectedAPI > InvoiceAPI,tdf-hq/src/TDF/API.hs:341
POST,/invoices/{sessionId}/generate,authenticated-root,finance.payments,create,true,user/admin interface mapped,root bearer/session authentication; handler/action/record-scope review still required,API > ProtectedAPI > InvoiceAPI,tdf-hq/src/TDF/API.hs:341
GET,/invoices/by-session/{sessionId},authenticated-root,finance.payments,view,true,user/admin interface mapped,root bearer/session authentication; handler/action/record-scope review still required,API > ProtectedAPI > InvoiceAPI,tdf-hq/src/TDF/API.hs:341
GET,/label/tracks,authenticated-root,label.tracks,view,true,user/admin interface mapped,root bearer/session authentication; handler/action/record-scope review still required,API > ProtectedAPI > LabelAPI,tdf-hq/src/TDF/API/Label.hs:11
POST,/label/tracks,authenticated-root,label.tracks,create,true,user/admin interface mapped,root bearer/session authentication; handler/action/record-scope review still required,API > ProtectedAPI > LabelAPI,tdf-hq/src/TDF/API/Label.hs:11
DELETE,/label/tracks/{id},authenticated-root,label.tracks,delete,true,user/admin interface mapped,root bearer/session authentication; handler/action/record-scope review still required,API > ProtectedAPI > LabelAPI,tdf-hq/src/TDF/API/Label.hs:11
PATCH,/label/tracks/{id},authenticated-root,label.tracks,edit,true,user/admin interface mapped,root bearer/session authentication; handler/action/record-scope review still required,API > ProtectedAPI > LabelAPI,tdf-hq/src/TDF/API/Label.hs:11
POST,/live-sessions/intake,authenticated-root,studio.live-sessions,create,true,user/admin interface mapped,root bearer/session authentication; handler/action/record-scope review still required,API > ProtectedAPI > LiveSessionsAPI,tdf-hq/src/TDF/API/LiveSessions.hs:52
POST,/login,public-root,technical.auth-login,create,false,user/admin interface mapped,public route; handler validation/signature/rate-limit review still required,API > LoginAPI,tdf-hq/src/TDF/API.hs:358
POST,/login/google,public-root,technical.auth-login,create,false,user/admin interface mapped,public route; handler validation/signature/rate-limit review still required,API > GoogleLoginAPI,tdf-hq/src/TDF/API.hs:359
GET,/marketplace,public-root,marketplace,view,true,user/admin interface mapped,public route; handler validation/signature/rate-limit review still required,API > MarketplaceAPI,tdf-hq/src/TDF/API/Marketplace.hs:22
GET,/marketplace/{id},public-root,marketplace,view,true,user/admin interface mapped,public route; handler validation/signature/rate-limit review still required,API > MarketplaceAPI,tdf-hq/src/TDF/API/Marketplace.hs:22
POST,/marketplace/cart,public-root,marketplace,create,true,user/admin interface mapped,public route; handler validation/signature/rate-limit review still required,API > MarketplaceAPI,tdf-hq/src/TDF/API/Marketplace.hs:22
GET,/marketplace/cart/{cartId},public-root,marketplace,view,true,user/admin interface mapped,public route; handler validation/signature/rate-limit review still required,API > MarketplaceAPI,tdf-hq/src/TDF/API/Marketplace.hs:22
POST,/marketplace/cart/{cartId}/checkout,public-root,marketplace,create,true,user/admin interface mapped,public route; handler validation/signature/rate-limit review still required,API > MarketplaceAPI,tdf-hq/src/TDF/API/Marketplace.hs:22
POST,/marketplace/cart/{cartId}/datafast/checkout,public-root,marketplace,create,true,user/admin interface mapped,public route; handler validation/signature/rate-limit review still required,API > MarketplaceAPI,tdf-hq/src/TDF/API/Marketplace.hs:22
POST,/marketplace/cart/{cartId}/items,public-root,marketplace,create,true,user/admin interface mapped,public route; handler validation/signature/rate-limit review still required,API > MarketplaceAPI,tdf-hq/src/TDF/API/Marketplace.hs:22
POST,/marketplace/cart/{cartId}/paypal/create,public-root,marketplace,create,true,user/admin interface mapped,public route; handler validation/signature/rate-limit review still required,API > MarketplaceAPI,tdf-hq/src/TDF/API/Marketplace.hs:22
POST,/marketplace/cart/{cartId}/stripe/payment-intent,public-root,marketplace,create,true,user/admin interface mapped,public route; handler validation/signature/rate-limit review still required,API > MarketplaceAPI,tdf-hq/src/TDF/API/Marketplace.hs:22
GET,/marketplace/datafast/status,public-root,marketplace,view,true,user/admin interface mapped,public route; handler validation/signature/rate-limit review still required,API > MarketplaceAPI,tdf-hq/src/TDF/API/Marketplace.hs:22
GET,/marketplace/orders,authenticated-root,marketplace,view,true,user/admin interface mapped,root bearer/session authentication; handler/action/record-scope review still required,API > ProtectedAPI > MarketplaceAdminAPI,tdf-hq/src/TDF/API/Marketplace.hs:36
GET,/marketplace/orders/{orderId},public-root,marketplace,view,true,user/admin interface mapped,public route; handler validation/signature/rate-limit review still required,API > MarketplaceAPI,tdf-hq/src/TDF/API/Marketplace.hs:22
PUT,/marketplace/orders/{orderId},authenticated-root,marketplace,edit,true,user/admin interface mapped,root bearer/session authentication; handler/action/record-scope review still required,API > ProtectedAPI > MarketplaceAdminAPI,tdf-hq/src/TDF/API/Marketplace.hs:36
POST,/marketplace/paypal/capture,public-root,marketplace,create,true,user/admin interface mapped,public route; handler validation/signature/rate-limit review still required,API > MarketplaceAPI,tdf-hq/src/TDF/API/Marketplace.hs:22
POST,/mcp,public-root,,,false,technical/API-only; never display,public route; handler validation/signature/rate-limit review still required,API > McpAPI,tdf-hq/src/TDF/API.hs:354
POST,/meta/backfill,authenticated-root,admin.diagnostics,administer,true,user/admin interface mapped,root bearer/session authentication; handler/action/record-scope review still required,API > ProtectedAPI > MetaBackfillAPI,tdf-hq/src/TDF/API.hs:163
GET,/navigation/preferences,authenticated-root,navigation.explore,view,true,user/admin interface mapped,root bearer/session authentication; handler/action/record-scope review still required,API > ProtectedAPI > NavigationPreferencesAPI,tdf-hq/src/TDF/API.hs:492
PUT,/navigation/preferences/{featureId},authenticated-root,navigation.explore,edit,true,user/admin interface mapped,root bearer/session authentication; handler/action/record-scope review still required,API > ProtectedAPI > NavigationPreferencesAPI,tdf-hq/src/TDF/API.hs:492
POST,/navigation/preferences/{featureId}/visit,authenticated-root,navigation.explore,edit,true,user/admin interface mapped,root bearer/session authentication; handler/action/record-scope review still required,API > ProtectedAPI > NavigationPreferencesAPI,tdf-hq/src/TDF/API.hs:492
GET,/openapi.yaml,public-root,help.docs,view,true,user/admin interface mapped,public route; handler validation/signature/rate-limit review still required,API > MetaAPI,tdf-hq/src/TDF/Meta.hs:39
GET,/packages/products,authenticated-root,marketplace,view,true,user/admin interface mapped,root bearer/session authentication; handler/action/record-scope review still required,API > ProtectedAPI > PackageAPI,tdf-hq/src/TDF/API.hs:337
POST,/packages/purchases,authenticated-root,marketplace,create,true,user/admin interface mapped,root bearer/session authentication; handler/action/record-scope review still required,API > ProtectedAPI > PackageAPI,tdf-hq/src/TDF/API.hs:337
GET,/parties,authenticated-root,crm.contacts,view,true,user/admin interface mapped,root bearer/session authentication; handler/action/record-scope review still required,API > ProtectedAPI > PartyAPI,tdf-hq/src/TDF/API.hs:124
POST,/parties,authenticated-root,crm.contacts,create,true,user/admin interface mapped,root bearer/session authentication; handler/action/record-scope review still required,API > ProtectedAPI > PartyAPI,tdf-hq/src/TDF/API.hs:124
GET,/parties/{partyId},authenticated-root,crm.contacts,view,true,user/admin interface mapped,root bearer/session authentication; handler/action/record-scope review still required,API > ProtectedAPI > PartyAPI,tdf-hq/src/TDF/API.hs:124
POST,/password/change,public-root,,,false,technical/API-only; never display,public route; handler validation/signature/rate-limit review still required,API > PasswordAPI,tdf-hq/src/TDF/API.hs:367
GET,/payments,authenticated-root,finance.payments,view,true,user/admin interface mapped,root bearer/session authentication; handler/action/record-scope review still required,API > ProtectedAPI > PaymentsAPI,tdf-hq/src/TDF/API/Payments.hs:332
POST,/payments,authenticated-root,finance.payments,create,true,user/admin interface mapped,root bearer/session authentication; handler/action/record-scope review still required,API > ProtectedAPI > PaymentsAPI,tdf-hq/src/TDF/API/Payments.hs:332
GET,/payments/{paymentId},authenticated-root,finance.payments,view,true,user/admin interface mapped,root bearer/session authentication; handler/action/record-scope review still required,API > ProtectedAPI > PaymentsAPI,tdf-hq/src/TDF/API/Payments.hs:332
GET,/pipelines/{pipelineType},authenticated-root,studio.pipelines,view,true,user/admin interface mapped,root bearer/session authentication; handler/action/record-scope review still required,API > ProtectedAPI > PipelinesAPI,tdf-hq/src/TDF/API/Pipelines.hs:11
GET,/proposals,authenticated-root,crm.leads,view,true,user/admin interface mapped,root bearer/session authentication; handler/action/record-scope review still required,API > ProtectedAPI > ProposalsAPI,tdf-hq/src/TDF/API/Proposals.hs:33
GET,/public/assets/qr/{token},public-root,technical.inventory-scan,view,true,documented API-only capability,public route; handler validation/signature/rate-limit review still required,API > InventoryPublicAPI,tdf-hq/src/TDF/API/Inventory.hs:323
POST,/public/assets/qr/{token}/checkin,public-root,technical.inventory-scan,edit,false,documented API-only capability,public route; handler validation/signature/rate-limit review still required,API > InventoryPublicAPI,tdf-hq/src/TDF/API/Inventory.hs:323
POST,/public/assets/qr/{token}/checkout,public-root,technical.inventory-scan,edit,false,documented API-only capability,public route; handler validation/signature/rate-limit review still required,API > InventoryPublicAPI,tdf-hq/src/TDF/API/Inventory.hs:323
POST,/public/assets/qr/{token}/upload,public-root,technical.inventory-scan,edit,false,documented API-only capability,public route; handler validation/signature/rate-limit review still required,API > InventoryPublicAPI,tdf-hq/src/TDF/API/Inventory.hs:323
GET,/public/courses/{slug},public-root,technical.course-public,view,true,user/admin interface mapped,public route; handler validation/signature/rate-limit review still required,API > CoursesPublicAPI,tdf-hq/src/TDF/Routes/Courses.hs:434
POST,/public/courses/{slug}/registrations,public-root,technical.course-registration,submit,true,user/admin interface mapped,public route; handler validation/signature/rate-limit review still required,API > CoursesPublicAPI,tdf-hq/src/TDF/Routes/Courses.hs:434
POST,/public/courses/{slug}/registrations/{registrationId}/checkout-session,public-root,technical.course-registration,submit,true,user/admin interface mapped,public route; handler validation/signature/rate-limit review still required,API > CoursesPublicAPI,tdf-hq/src/TDF/Routes/Courses.hs:434
POST,/public/courses/{slug}/registrations/{registrationId}/payment-intent,public-root,technical.course-registration,submit,true,user/admin interface mapped,public route; handler validation/signature/rate-limit review still required,API > CoursesPublicAPI,tdf-hq/src/TDF/Routes/Courses.hs:434
GET,/public/whatsapp/consent,public-root,technical.whatsapp-consent-public,view,true,user/admin interface mapped,public route; handler validation/signature/rate-limit review still required,API > WhatsAppConsentPublicAPI > WhatsAppConsentRoutes,tdf-hq/src/TDF/API.hs:216
POST,/public/whatsapp/consent,public-root,technical.whatsapp-consent-public,submit,true,user/admin interface mapped,public route; handler validation/signature/rate-limit review still required,API > WhatsAppConsentPublicAPI > WhatsAppConsentRoutes,tdf-hq/src/TDF/API.hs:216
POST,/public/whatsapp/opt-out,public-root,technical.whatsapp-consent-public,submit,true,user/admin interface mapped,public route; handler validation/signature/rate-limit review still required,API > WhatsAppConsentPublicAPI > WhatsAppConsentRoutes,tdf-hq/src/TDF/API.hs:216
DELETE,/radio/presence,authenticated-root,studio.live-sessions,edit,true,user/admin interface mapped,root bearer/session authentication; handler/action/record-scope review still required,API > ProtectedAPI > RadioAPI,tdf-hq/src/TDF/API/Radio.hs:16
GET,/radio/presence,authenticated-root,studio.live-sessions,view,true,user/admin interface mapped,root bearer/session authentication; handler/action/record-scope review still required,API > ProtectedAPI > RadioAPI,tdf-hq/src/TDF/API/Radio.hs:16
POST,/radio/presence,authenticated-root,studio.live-sessions,edit,true,user/admin interface mapped,root bearer/session authentication; handler/action/record-scope review still required,API > ProtectedAPI > RadioAPI,tdf-hq/src/TDF/API/Radio.hs:16
GET,/radio/presence/{partyId},authenticated-root,studio.live-sessions,view,true,user/admin interface mapped,root bearer/session authentication; handler/action/record-scope review still required,API > ProtectedAPI > RadioAPI,tdf-hq/src/TDF/API/Radio.hs:16
GET,/radio/streams,authenticated-root,studio.live-sessions,view,true,user/admin interface mapped,root bearer/session authentication; handler/action/record-scope review still required,API > ProtectedAPI > RadioAPI,tdf-hq/src/TDF/API/Radio.hs:16
POST,/radio/streams/active,authenticated-root,studio.live-sessions,edit,true,user/admin interface mapped,root bearer/session authentication; handler/action/record-scope review still required,API > ProtectedAPI > RadioAPI,tdf-hq/src/TDF/API/Radio.hs:16
POST,/radio/streams/import,authenticated-root,studio.live-sessions,edit,true,user/admin interface mapped,root bearer/session authentication; handler/action/record-scope review still required,API > ProtectedAPI > RadioAPI,tdf-hq/src/TDF/API/Radio.hs:16
